Reg;Aircraft Type;manufacturer_id;airline_id;Delivered;Status;Age (years);usage_id
LX-PCI;Pilatus PC-24;24;10;24/08/2022;Active;3.54;1
LX-PCJ;Pilatus PC-24;24;10;16/02/2023;Active;3.06;1
LX-PCK;Pilatus PC-24;24;10;04/08/2023;Active;2.59;1
LX-PCL;Pilatus PC-24;24;10;13/06/2024;Active;1.73;1
LX-PCM;Pilatus PC-24;24;10;21/05/2025;Active;0.8;1
LX-PCN;Pilatus PC-24;24;10;13/02/2026;Active;0.06;1
LX-ZAP;Pilatus PC-24;24;10;04/07/2023;Active;2.68;1
LX-LBA;Boeing 737-8C9(WL);5;11;25/02/2015;Active;11.03;4
LX-LBB;Boeing 737-86J(WL);5;11;15/10/2015;Active;10.4;4
LX-LBK;Boeing 737-8 MAX;5;11;04/09/2023;Active;2.51;4
LX-LBL;Boeing 737-8 MAX;5;11;30/06/2023;Active;2.69;4
LX-LBR;Boeing 737-7K2(WL);5;11;21/05/2019;Active;6.8;4
LX-LBT;Boeing 737-7K2(WL);5;11;01/03/2019;Active;7.02;4
LX-LEA;Embraer E195-E2 (ERJ 190-400 STD);17;11;27/11/2025;Active;0.28;4
LX-LGE;Bombardier DHC-8-402 Dash 8 Q400;7;11;18/12/2009;Active;16.22;4
LX-LGF;Bombardier DHC-8-402 Dash 8 Q400;7;11;04/02/2011;Active;15.09;4
LX-LGG;Bombardier DHC-8-402 Dash 8 Q400;7;11;28/08/2012;Active;13.52;4
LX-LGM;Bombardier DHC-8-402 Dash 8 Q400;7;11;17/11/2012;Parked;13.3;4
LX-LGN;Bombardier DHC-8-402 Dash 8 Q400;7;11;08/12/2012;Active;13.25;4
LX-LGS;Boeing 737-7C9(WL);5;11;21/01/2005;Parked;21.13;4
LX-LGU;Boeing 737-8C9(WL);5;11;07/12/2012;Active;13.25;4
LX-LGV;Boeing 737-8C9(WL);5;11;21/01/2014;Active;12.13;4
LX-LQA;Bombardier DHC-8-402 Dash 8 Q400;7;11;31/03/2014;Active;11.94;4
LX-LQB;Bombardier DHC-8-402 Dash 8 Q400;7;11;07/12/2015;Active;10.25;4
LX-LQC;Bombardier DHC-8-402 Dash 8 Q400;7;11;15/12/2015;Active;10.23;4
LX-LQD;Bombardier DHC-8-402 Dash 8 Q400;7;11;25/05/2016;Active;9.79;4
LX-LQI;Bombardier DHC-8-402 Dash 8 Q400;7;11;23/09/2016;Active;9.45;4
LX-LQJ;Bombardier DHC-8-402 Dash 8 Q400;7;11;02/08/2017;Active;8.6;4
LX-TRO;Embraer EMB-135BJ Legacy 650;17;12;01/02/2020;Active;6.1;1
CT-01;Airbus A400M-180;2;13;07/10/2020;Active;5.42;3
HB-JFH;Dassault Falcon 6X;13;14;08/09/2025;Active;0.5;1
LX-UTP;Bombardier Global 7500 (BD-700-2A12);6;15;15/01/2026;Active;0.14;1
